source_id,title,issuing_body,url_or_identifier,edition_or_version,publication_date,access_date,jurisdiction,genre,scope,status,license,local_snapshot_hash,verified_by,notes
POL-NSFC-2026,2026年度国家自然科学基金项目指南申请规定,国家自然科学基金委员会,https://www.nsfc.gov.cn/p1/3381/2824/99667.html,2026,2026,2026-08-16,CN,grant,2026 NSFC applications and reports,verified-current,official-publication,,skill-maintainer,Recheck per project type and institution
POL-NSFC-OUTLINE-2026,2026年申请书瘦身提质改革,国家自然科学基金委员会,https://www.nsfc.gov.cn/p1/3381/2821/99242.html,2026,2026,2026-08-16,CN,grant,General and Young Scientists Fund C applications,verified-current,official-publication,,skill-maintainer,Use current online form as controlling source
POL-CNIPA-GUIDE,专利审查指南,国家知识产权局,https://www.cnipa.gov.cn/module/download/down.jsp?colID=2790&i_ID=189500,2023,2023,2026-08-16,CN,patent,Chinese patent examination,verified-current,official-publication,,skill-maintainer,Check later amendments
POL-GBT-1-1,GB/T 1.1—2020 标准化工作导则,国家标准化管理委员会,https://std.samr.gov.cn/gb/search/gbDetailed?id=A24AF19F41445C2EE05397BE0A0A5E0D,2020,2020,2026-08-16,CN,standard,Standard drafting baseline,verified-current,registry-metadata,,skill-maintainer,Registry reports 2026 review continued validity
POL-GBT-7713-3,GB/T 7713.3—2014 科技报告编写规则,国家标准化管理委员会,https://std.samr.gov.cn/gb/search/gbDetailedCNF?id=71F772D7EA50D3A7E05397BE0A0AB82A,2014,2014,2026-08-16,CN,report,Scientific and technical reports,verified-current,registry-metadata,,skill-maintainer,Add commissioning and sector rules
POL-ICMJE-AI,Artificial Intelligence in Publishing,ICMJE,https://www.icmje.org/recommendations/browse/artificial-intelligence/,current-web,,2026-08-16,international,manuscript,Human accountability and AI disclosure,verified-current,website-terms,,skill-maintainer,Apply only where adopted or relevant
POL-EQUATOR,Reporting Guidelines Library,EQUATOR Network,https://www.equator-network.org/reporting-guidelines/,current-web,,2026-08-16,international,manuscript,Study-design reporting guidelines,verified-current,website-terms,,skill-maintainer,Open the selected current checklist
TERM-WRB,World Reference Base for Soil Resources,FAO/IUSS,https://www.fao.org/soils-portal/data-hub/soil-classification/world-reference-base/en/,fourth-edition,,2026-08-16,international,terminology,International soil classification,verified-current,official-publication,,skill-maintainer,Record errata and exact edition
TERM-USDA,Keys to Soil Taxonomy,USDA NRCS,https://www.nrcs.usda.gov/resources/guides-and-instructions/keys-to-soil-taxonomy,current-edition,,2026-08-16,US,terminology,USDA Soil Taxonomy,verified-current,official-publication,,skill-maintainer,Record exact edition in projects
TERM-SI,SI Brochure,BIPM,https://www.bipm.org/en/publications/si-brochure,current-edition,,2026-08-16,international,units,SI quantities and units,verified-current,official-publication,,skill-maintainer,Venue conventions may add constraints
