expression_id,entry_type,language,discipline,genre,section,rhetorical_move,exact_fragment,abstracted_pattern,source_title,authors,year,doi,url,locator,license,access_date,verbatim_word_count,verified,context_limit,reuse_status,notes,module_id,source_type,fulltext_status,qualification_status,reviewer_state,release_scope,module_fit_reason
MOD-EXPR-D01,abstracted,en,digital soil mapping,article,abstract,compare predictive methods without declaring a universal winner,,"We evaluated [methods] for [soil responses] across [regions and depths] using [covariates] and independent validation; where performance differences were small, no method was treated as universally best.",Evaluation of digital soil mapping approaches with large sets of environmental covariates,"Nussbaum, Spiess, Baltensweiler, Grob, Keller, Greiner, Schaepman, and Papritz",2018,10.5194/soil-4-1-2018,https://soil.copernicus.org/articles/4/1/2018/index.html,"Abstract, design and independent-validation result sentences",CC BY 3.0,2026-08-16,0,true,"Use only for an actual multi-method comparison with independent validation; name responses, regions, depths, and validation design.",abstract_pattern_only,Source wording must not be reconstructed or pasted.,D1,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses digital soil mapping methods covariates soil properties depth and external validation.
MOD-EXPR-D02,abstracted,en,soil physics and hydrology,article,abstract,test a simplifying physical-model assumption,,"To test whether [model assumption] holds for [soil condition], we combined [laboratory measurements] with [numerical simulations] and compared both with [model predictions].",Characterization of stony soils' hydraulic conductivity using laboratory and numerical experiments,"Beckers, Pichault, Pansak, Degré, and Garré",2016,10.5194/soil-2-421-2016,https://soil.copernicus.org/articles/2/421/2016/soil-2-421-2016.html,"Abstract, objective through model–experiment comparison",CC BY 3.0,2026-08-16,0,true,Use only where the assumption and comparison are explicit and the tested water regime and fragment range are reported.,abstract_pattern_only,Do not generalize saturated results to unsaturated conditions.,D2,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses hydraulic conductivity coarse fragments laboratory measurements numerical simulation and condition-dependent inference.
MOD-EXPR-D03,abstracted,en,soil chemistry and biogeochemistry,article,abstract,bind adsorption evidence to chemical conditions and field limits,,"We characterized [material] across [substrate, pH, and temperature ranges] and quantified [adsorption or release] in [defined soil]; performance under field conditions remains to be tested.",Adsorption to soils and biochemical characterization of commercial phytases,"Caffaro, Balestrasse, and Rubio",2020,10.5194/soil-6-153-2020,https://soil.copernicus.org/articles/6/153/2020/index.html,"Abstract, methods–result–field-limit sequence",CC BY 4.0,2026-08-16,0,true,Use only when substrates conditions soil class and measured interface process are known; retain the laboratory-to-field boundary.,abstract_pattern_only,Do not convert promising laboratory behavior into field efficacy.,D3,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses adsorption biochemical conditions soil class phosphorus release and the boundary between laboratory and field evidence.
MOD-EXPR-D04,abstracted,en,soil fertility and plant nutrition,review,abstract,condition a nutrient-management recommendation on farm heterogeneity,,"Recommendations were conditioned on [field-scale constraints], [farm resources], and [production objectives], rather than applied uniformly across heterogeneous farms.",Integrated soil fertility management in sub-Saharan Africa: unravelling local adaptation,"Vanlauwe, Descheemaeker, Giller, Huising, Merckx, Nziguheba, Wendt, and Zingore",2015,10.5194/soil-1-491-2015,https://soil.copernicus.org/articles/1/491/2015/soil-1-491-2015.html,"Abstract, local-adaptation and field/farm-scale paragraphs",CC BY 3.0,2026-08-16,0,true,Use only when soil constraints resource endowments production objectives and recommendation scale are documented.,abstract_pattern_only,Avoid blanket fertilizer or amendment recommendations.,D4,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses fertilizer efficiency soil constraints local adaptation plant nutrition and field-to-farm decision scales.
MOD-EXPR-D05,abstracted,en,soil microbiology and carbon,article,abstract,define a depth-resolved multi-method study,,"We quantified [biotic and carbon properties] at [depth intervals] using [molecular measurements] and [isotopic or chemical measurements]; inference is restricted to [forest and soil context].",Soil depth as a driver of microbial and carbon dynamics in a planted forest (Pinus radiata) pumice soil,"Byers, Garrett, Armstrong, Dean, and Wakelin",2023,10.5194/soil-9-55-2023,https://soil.copernicus.org/articles/9/55/2023/soil-9-55-2023.html,"Abstract, knowledge gap and depth-resolved methods",CC BY 4.0,2026-08-16,0,true,Use only when depth increments analytical methods ecosystem and soil context are stated; do not transfer subsoil patterns universally.,abstract_pattern_only,Keep microbial abundance diversity composition and functional claims distinct.,D5,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses soil depth microbial community measurements carbon age and forest subsoil context.
MOD-EXPR-D06,abstracted,en,soil biogeochemistry and carbon cycling,article,abstract,separate pool-specific recovery from total-carbon change,,"We compared [land uses] over [duration] and separated [soil carbon fractions] to determine which pools recovered and which remained below [reference condition].",The influence of land use and management on the behaviour and persistence of soil organic carbon in a subtropical Ferralsol,"Hondroudakis, Kopittke, Dalal, Barnard, and Weng",2024,10.5194/soil-10-451-2024,https://soil.copernicus.org/articles/10/451/2024/index.html,"Abstract, land-use chronology and fraction-specific recovery results",CC BY 4.0,2026-08-16,0,true,Use only when land-use history duration fractions and reference condition are known; do not equate storage persistence and sequestration.,abstract_pattern_only,Preserve SOC pool definitions and temporal boundary.,D6,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses long-term land-use effects SOC fractions persistence and carbon-cycle terminology.
MOD-EXPR-D07,abstracted,en,soil pollution and contaminant assessment,review,abstract,distinguish contaminant metrics and methodological bias,,"We synthesized [contaminant measurements] across [land uses and entry pathways], distinguishing [item counts] from [mass] and identifying methodological sources of under- or overestimation.",Global concentrations of microplastics in soils – a review,"Büks and Kaupenjohann",2020,10.5194/soil-6-649-2020,https://soil.copernicus.org/articles/6/649/2020/soil-6-649-2020.html,"Abstract, concentration synthesis and measurement-limit paragraphs",CC BY 4.0,2026-08-16,0,true,Use only when concentration units sampling histories analytical methods and pathway coverage are reported.,abstract_pattern_only,Do not compare counts and masses as interchangeable contamination measures.,D7,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses soil contamination entry pathways concentration metrics sampling history and bias relevant to risk assessment.
MOD-EXPR-D08,abstracted,en,soil erosion degradation and restoration,review,methods and discussion,restrict a restoration synthesis to comparable evidence,,"We restricted the synthesis to [control–treatment evidence] with quantitative [erosion and soil-quality indicators], reported [effect measure], and withheld [larger-scale] conclusions where studies were sparse.",The effect of natural infrastructure on water erosion mitigation in the Andes,"Vanacker, Molina, Rosas, Bonnesoeur, Román-Dañobeytia, Ochoa-Tocachi, and Buytaert",2022,10.5194/soil-8-133-2022,https://soil.copernicus.org/articles/8/133/2022/soil-8-133-2022.html,"Methods Sect. 2.3 and Discussion Sects. 3.2–3.4",CC BY 4.0,2026-08-16,0,true,Use only when intervention controls indicators effect measures and scale-specific evidence counts are available.,abstract_pattern_only,Do not extrapolate plot evidence to catchments without sufficient studies.,D8,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses erosion mitigation restoration interventions effect sizes soil quality and evidence scarcity by scale.
MOD-EXPR-D09,abstracted,en,urban and constructed soils,review,abstract,make soil design conditional on land use and constraints,,"The required properties of [constructed soil or substrate] were specified by [future land use], [available materials], [contaminant constraints], and [environmental conditions].",Using constructed soils for green infrastructure – challenges and limitations,"Deeb, Groffman, Blouin, Egendorf, Vergnes, Vasenev, Cao, Walsh, Morin, and Séré",2020,10.5194/soil-6-413-2020,https://soil.copernicus.org/articles/6/413/2020/index.html,"Abstract and Sects. 1.4–2.1 on use-dependent constraints",CC BY 4.0,2026-08-16,0,true,Use only after naming the target land use soil functions materials contaminants and environmental conditions.,abstract_pattern_only,Do not treat constructed Technosols as interchangeable across urban applications.,D9,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly represents a defined urban-soil context and shows how land use materials functions and risk constraints change the recommendation.
MOD-EXPR-D10,abstracted,en,critical-zone geochemistry and geomorphology,article,abstract,separate geochemical depth and topographic controls,,"We sampled [depths] along [geochemical and topographic gradients] and combined [fractionation] with [geochemical analyses] to distinguish mineral, depth, and landscape controls.",The role of geochemistry in organic carbon stabilization against microbial decomposition in tropical rainforest soils,"Reichenbach, Fiener, Garland, Griepentrog, Six, and Doetterl",2021,10.5194/soil-7-453-2021,https://soil.copernicus.org/articles/7/453/2021/soil-7-453-2021.html,"Abstract, gradient design through conditional interpretation",CC BY 4.0,2026-08-16,0,true,Use only where gradients depths analytical fractions and alternative controls are explicitly represented.,abstract_pattern_only,Do not collapse parent material weathering topography and hydrology into one mechanism.,D10,official_open_fulltext_article,fulltext_verified,expression_qualified_pilot,agent_source_license_context_check_human_domain_review_pending,internal_pilot_not_production_phrasebook,Directly addresses parent-material geochemistry weathering topography depth fluvial dynamics and critical-zone carbon processes.
