record_id,candidate_expression,observed_context,genre,rhetorical_unit,intended_meaning,task_failure_locator,preferred_usage_source_1,preferred_usage_source_2,proposed_classification,replacement_by_sense,status,reviewer,review_date,reject_case_id,allow_case_id,notes
DRL-0091,(?:顶层设计|统筹谋划),以顶层设计为牵引统筹谋划土壤评价工作,generic_formal_soil,project_design,总体设计和任务安排,REG-DRC-091,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,context_controlled,研究设计；总体技术方案；列明研究问题和步骤,evidence_gathered,,,DR-CAND-091-REJECT,DR-CAND-091-ALLOW,官方期刊优选来源记录具体指标筛选和空间建模方法；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0092,(?:落细落实|落地落实|落细落小|走深走实|见行见效),推动各项任务落细落实并见行见效,generic_formal_soil,progress,完成任务并验证结果,REG-DRC-092,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412230502,context_controlled,列明完成步骤；责任主体；日期和复核结果,evidence_gathered,,,DR-CAND-092-REJECT,DR-CAND-092-ALLOW,优选来源直接报告处理条件和观测结果；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0093,(?:工作|治理|发展|协同)格局,形成耕地质量协同治理格局,generic_formal_soil,discussion,说明机构关系或空间特征,REG-DRC-093,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,context_controlled,参与单位及职责；管理范围和程序；空间格局；分布格局,evidence_gathered,,,DR-CAND-093-REJECT,DR-CAND-093-ALLOW,优选来源把空间格局与指标和区域边界绑定；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0094,(?:一盘棋|共建共治共享),形成监测评价监管一盘棋,generic_formal_soil,management,说明协作单位和共同程序,REG-DRC-094,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,context_controlled,列明协作单位职责和数据交换方式；共同监测或复核程序,evidence_gathered,,,DR-CAND-094-REJECT,DR-CAND-094-ALLOW,优选来源以指标权重和评价方法说明程序而非政策口号；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0095,(?:问题|目标|结果|需求)导向,坚持问题导向和结果导向,generic_formal_soil,objective,说明研究问题目标或判定标准,REG-DRC-095,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202060045,context_controlled,研究问题为；研究目标为；按具体指标判定,evidence_gathered,,,DR-CAND-095-REJECT,DR-CAND-095-ALLOW,优选来源明确研究对象和评价指标；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0096,(?:以)?(?:需求|目标|任务|创新)(?:为)?牵引,以需求为牵引开展技术攻关,generic_formal_soil,objective,依据需求设计任务,REG-DRC-096,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,context_controlled,依据具体需求确定指标；按照研究目标设计试验；按任务书实施,evidence_gathered,,,DR-CAND-096-REJECT,DR-CAND-096-ALLOW,优选来源直接陈述研究区对象方法和评价指标；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0097,"(?:筑牢|夯实).{0,10}(?:根基|基础|防线)",筑牢耕地质量保护根基,generic_formal_soil,significance,说明数据基础或风险控制,REG-DRC-097,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,context_controlled,建立基础数据集；降低具体风险；满足前提条件；提供证据,evidence_gathered,,,DR-CAND-097-REJECT,DR-CAND-097-ALLOW,优选来源将基础数据和处理效应写成可核查对象；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0098,(?:横向协同|纵向贯通|上下贯通|协同贯通),建立横向协同纵向贯通的工作机制,generic_formal_soil,workflow,说明机构接口或传递方向,REG-DRC-098,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202508190404,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,context_controlled,机构间职责；数据传输方向；样品或信息交接程序,evidence_gathered,,,DR-CAND-098-REJECT,DR-CAND-098-ALLOW,优选来源用迁移路径或空间关系指明对象和方向；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0099,(?:数据要素|数据资产)(?:价值|治理|管理|运营|流通|挖掘),深化土壤数据要素价值挖掘,generic_formal_soil,data_management,说明数据质量管理共享或分析,REG-DRC-099,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,context_controlled,数据质量控制；元数据管理；访问权限；共享复用条件；分析方法,evidence_gathered,,,DR-CAND-099-REJECT,DR-CAND-099-ALLOW,优选来源列明指标数据和建模用途；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0100,(?:全域感知|全域覆盖|全程管控),实现评价业务全域感知和全程管控,generic_formal_soil,scope,说明地理覆盖和过程控制,REG-DRC-100,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,context_controlled,研究区边界和覆盖率；监测对象和时段；质量控制步骤,evidence_gathered,,,DR-CAND-100-REJECT,DR-CAND-100-ALLOW,研究区全域覆盖和全域覆盖率为词表内受控技术语境；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0101,(?:全过程|全流程)(?:监管|管控|治理|管理|评价),开展耕地质量全流程监管,generic_formal_soil,workflow,说明各阶段检查和责任,REG-DRC-101,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,context_controlled,列明各阶段和检查项目；从采样检测到归档逐项说明,evidence_gathered,,,DR-CAND-101-REJECT,DR-CAND-101-ALLOW,优选来源按方法结果顺序描述实际步骤；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0102,(?:过程留痕|全程留痕|留痕管理),强化采样检测过程留痕,generic_formal_soil,quality_control,说明需要保存的记录,REG-DRC-102,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412230502,context_controlled,保留原始记录；记录样品编号时间和操作人；保存版本记录,evidence_gathered,,,DR-CAND-102-REJECT,DR-CAND-102-ALLOW,优选来源把试验条件和结果写为可核查信息；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0103,问题清单[、，]任务清单[、，]责任清单,建立问题清单任务清单责任清单,generic_formal_soil,management,记录问题处置责任和期限,REG-DRC-103,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,context_controlled,问题处置措施责任人期限和复核结果记录表,evidence_gathered,,,DR-CAND-103-REJECT,DR-CAND-103-ALLOW,单独的问题清单并非一律禁止；候选仅控制公式化三清单排比；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0104,(?:一张图|一张网)(?:管理|监管|治理|平台|系统),建设耕地质量一张图管理平台,generic_formal_soil,deliverable,说明地图数据库或平台组成,REG-DRC-104,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,context_controlled,图层比例尺和数据来源；数据库功能；更新频次和权限,evidence_gathered,,,DR-CAND-104-REJECT,DR-CAND-104-ALLOW,优选来源使用空间分布图并说明指标和计算方法；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0105,(?:新范式|新模式|新格局),构建耕地质量评价新范式,generic_formal_soil,novelty,说明与既有方法的差异,REG-DRC-105,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202060045,context_controlled,说明新增步骤和比较结果；删除无证据的新颖性评价,evidence_gathered,,,DR-CAND-105-REJECT,DR-CAND-105-ALLOW,土壤学报检索显示新范式偶有出现但期刊出现不等于可无条件复用；检索核对日期2026-08-16；人工土壤学复核待完成
