expression_id,entry_type,language,discipline,genre,section,rhetorical_move,exact_fragment,abstracted_pattern,source_title,authors,year,doi,url,locator,license,access_date,verbatim_word_count,verified,context_limit,reuse_status,notes
EXPR-001,verbatim,en,soil carbon,article,abstract,mark an unresolved question,remain uncertain and widely debated,[phenomenon] remains uncertain and is actively debated,Soil Respiration and Bacterial Structure and Function after 17 Years of a Reciprocal Soil Transplant Experiment,Bond-Lamberty et al.,2016,10.1371/journal.pone.0150599,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0150599,Abstract first sentence,CC BY,2026-08-16,5,true,Use only where both uncertainty and an active literature debate are documented,quote_with_attribution,Do not use as a generic novelty claim
EXPR-002,verbatim,en,soil organic carbon,article,abstract,state a study objective,we have sought to assess the biogeochemical stability,We assessed [property] of [defined pool] using [design],What is the stability of additional organic carbon stored thanks to alternative cropping systems and organic waste product application? A multi-method evaluation,Kpemoua et al.,2024,10.5194/soil-10-533-2024,https://soil.copernicus.org/articles/10/533/2024/soil-10-533-2024.html,Abstract first sentence,CC BY 4.0,2026-08-16,8,true,Use only for an assessment that operationally defines stability,quote_with_attribution,Prefer the abstracted active pattern in new prose
EXPR-003,verbatim,en,soil organic carbon,article,abstract,identify a knowledge gap,the factors regulating the persistence of soil organic C (SOC) remain unclear,The factors controlling [process] under [conditions] remain unresolved,The influence of land use and management on the behaviour and persistence of soil organic carbon in a subtropical Ferralsol,Hondroudakis et al.,2024,10.5194/soil-10-451-2024,https://soil.copernicus.org/articles/10/451/2024/index.html,Abstract first sentence,CC BY 4.0,2026-08-16,12,true,Do not generalize beyond the factor set and context supported by the cited literature,quote_with_attribution,Spell out SOC at first use
EXPR-004,verbatim,en,soil microbiology,article,abstract,summarize the analysis scope,We examined spatial and seasonal variation,We examined [spatial/temporal dimensions] in [response] across [design],Key Edaphic Properties Largely Explain Temporal and Geographic Variation in Soil Microbial Communities across Four Biomes,Docherty et al.,2015,10.1371/journal.pone.0135352,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0135352,Abstract methods sentence,CC BY,2026-08-16,6,true,Use examined only for analyses actually conducted,quote_with_attribution,Pair with method and study extent
EXPR-005,verbatim,en,soil carbon,article,introduction,connect duration to study purpose,to examine how almost two decades of exposure,We used [duration/design] to examine how [exposure] affected [outcome],Soil Respiration and Bacterial Structure and Function after 17 Years of a Reciprocal Soil Transplant Experiment,Bond-Lamberty et al.,2016,10.1371/journal.pone.0150599,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0150599,Introduction final paragraph,CC BY,2026-08-16,8,true,Do not equate duration with causal identification,quote_with_attribution,Use a complete independently written sentence in deliverables
EXPR-006,pattern,en,soil science,article,discussion,calibrate interpretation,,These results are consistent with [interpretation] but do not exclude [alternative],,,,,,,,,0,true,Use when the design supports compatibility rather than proof,abstract_pattern,Task-local evidence and citations are still required
EXPR-007,pattern,en,soil science,article,methods,define operational scope,,Here [term] denotes [measured or fractionated entity] under [procedure],,,,,,,,,0,true,Use for operationally defined pools or fractions,abstract_pattern,Do not present an operational fraction as a universal natural kind
EXPR-008,pattern,zh,soil science,report,conclusion,limit spatial extrapolation,,在本次采样范围和调查时段内，[结果]；对[未覆盖区域/时段]的外推仍需额外证据。,,,,,,,,,0,true,Use only when sampling and time boundaries are known,abstract_pattern,Replace brackets with verified project content
EXPR-009,abstracted,en,soil carbon,perspective,abstract,link management relevance to scale,,"For [intervention] to be effective, it must account for [processes] across [spatial and temporal scales].",Persistence of soil organic carbon caused by functional complexity,Lehmann et al.,2020,10.1038/s41561-020-0612-3,https://www.nature.com/articles/s41561-020-0612-3,Abstract,all-rights-reserved-preview,2026-08-16,0,true,Use the architecture only when both intervention and cross-scale processes are specified,abstract_pattern_only,Nature Geoscience top-tier seed; no source wording may be pasted
EXPR-010,abstracted,en,soil biogeochemistry,article,introduction,narrow a broad unknown to two testable ambiguities,,"Although [metric] may predict [outcome], its role remains unresolved because [ambiguity 1] and [ambiguity 2].",Microbial carbon use efficiency promotes global soil carbon storage,Manzoni et al.,2023,10.1038/s41586-023-06042-3,https://www.nature.com/articles/s41586-023-06042-3,Introduction final gap paragraph,open-access-page-current-license-to-verify,2026-08-16,0,true,Use only when both ambiguities are supported by literature,abstract_pattern_only,Nature top-tier seed; verify current rights before retaining any exact wording
EXPR-011,abstracted,en,soil geomorphology,article,abstract,connect an observed gradient to scalable prediction,,"By coupling [process-linked trend] with [independent spatial data], we estimate [outcome] across [scale range].",Geomorphic controls on the abundance and persistence of soil organic carbon pools in erosional landscapes,Hunter et al.,2024,10.1038/s41561-023-01365-2,https://www.nature.com/articles/s41561-023-01365-2,Abstract final sentence,all-rights-reserved-preview,2026-08-16,0,true,Requires a validated coupling and an explicit scale range,abstract_pattern_only,Nature Geoscience top-tier seed; abstract pattern only
