module_id,scope,international_source_families,chinese_source_families,common_artifacts,high_risk_terms,query_dimensions,expert_author_priority
D1,土壤发生分类调查制图与资源,Geoderma; Catena; European Journal of Soil Science; Soil Use and Management,土壤学报; 地理学报; 中国科学：地球科学,分类论文; 土壤调查报告; 制图论文; 资源评价; 标准,soil type; horizon; diagnostic property; correlation; mapping; prediction,分类体系与版本; 区域; 尺度; 章节; 调查设计,土壤分类与土壤地理专家的第一作者框架或综述
D2,土壤物理水热气力学与侵蚀,Vadose Zone Journal; Water Resources Research; Soil and Tillage Research; Journal of Hydrology; Catena,土壤学报; 水土保持学报; 农业工程学报,实验论文; 模型论文; 方法; 灌排或侵蚀报告; SOP,bulk density; porosity; conductivity; water retention; flux; infiltration,边界条件; 尺度; 模型; 单位; 田间或室内; 误差结构,土壤物理与水土过程专家第一作者方法或学科综述
D3,土壤化学胶体矿物界面与地球化学,Geochimica et Cosmochimica Acta; Environmental Science and Technology; Clay Minerals; Applied Geochemistry; Geoderma,土壤学报; 中国科学：地球科学; 环境科学,机制论文; 光谱方法; 吸附与动力学; 标准方法; 专利,sorption; adsorption; absorption; speciation; fraction; complexation; redox,化学种; 操作组分; pH; 离子强度; 矿物类型; 温度; 模型,土壤化学矿物学专家第一作者观点或机制综述
D4,土壤肥力植物营养根际肥料与养分管理,Plant and Soil; Field Crops Research; Nutrient Cycling in Agroecosystems; Soil and Tillage Research; Agriculture Ecosystems and Environment,中国农业科学; 植物营养与肥料学报; 土壤学报,田间试验; 肥效评价; 基金; 专利; 技术规程; 农技报告,available; extractable; nutrient-use efficiency; fertilizer; amendment; rhizosphere,作物; 土类; 提取法; 施肥制度; 产量品质; 环境损失; 试验年限,植物营养与土壤肥力专家第一作者综述观点和长期试验总结
D5,土壤生物微生物生态组学与生物信息,ISME Journal; Soil Biology and Biochemistry; Microbiome; mSystems; New Phytologist,土壤学报; 生态学报; 应用生态学报,群落论文; 组学论文; 方法协议; 数据论文; 综述,abundance; activity; function; functional potential; diversity; assembly; microbiome,扩增子或宏基因组; 数据处理; 绝对或相对丰度; 实验单位; 数据库版本,土壤微生物和根际专家第一作者综述或概念框架
D6,碳氮磷硫循环同位素温室气体与全球变化,Nature Geoscience; Global Change Biology; Biogeochemistry; SOIL; Soil Biology and Biochemistry,中国科学：地球科学; 土壤学报; 生态学报,机制论文; 全球综合; 长期试验; 模型; 碳清单; 政策简报,stock; flux; storage; sequestration; persistence; age; turnover; MAOC; POC,元素; 库或通量; 时空尺度; 同位素; 模型结构; 实验设计,生物地球化学专家第一作者观点综述和代表研究
D7,土壤污染暴露风险毒理迁移与修复,Environmental Science and Technology; Environment International; Journal of Hazardous Materials; Environmental Pollution; Water Research,环境科学; 中国环境科学; 环境科学学报; 农业环境科学学报,风险评价; 修复论文; 监测报告; 标准; 专利; 应急材料,hazard; risk; exposure; dose; bioaccessibility; bioavailability; total; fraction,污染物; 介质; 受体; 暴露途径; 风险模型; 法域; 限值; 修复边界,环境土壤和修复专家第一作者综述标准框架与风险观点
D8,侵蚀退化酸化盐渍化压实保护恢复与土壤健康,Land Degradation and Development; Catena; Soil and Tillage Research; Restoration Ecology; Journal of Environmental Management,土壤学报; 水土保持学报; 生态学报; 中国农业科学,退化评价; 恢复论文; 调查报告; 保护规划; 技术规程,degradation; restoration; reclamation; saline; sodic; acidification; soil health,基线; 参照; 指标; 阈值; 尺度; 土地利用; 恢复年限,土壤保护恢复和盐碱地专家第一作者框架综述
D9,农田稻田森林草地湿地城市矿区冻土干旱区等情景,Agriculture Ecosystems and Environment; Forest Ecology and Management; Global Change Biology; Urban Ecosystems; Permafrost and Periglacial Processes,土壤学报; 生态学报; 中国农业科学; 地理学报,情景论文; 区域调查; 管理建议; 规划; 监测报告,context-specific pools; land-use change; management; baseline; transferability,生态系统; 土类; 气候区; 管理历史; 深度; 时段; 外推边界,目标生态系统的资深专家第一作者综合论文
D10,地质地貌沉积第四纪水文气候大气沉降与地球系统,Nature Geoscience; Earth Surface Processes and Landforms; Hydrology and Earth System Sciences; Geochimica et Cosmochimica Acta; Earth System Science Data,中国科学：地球科学; 地理学报; 地球科学进展,地球系统论文; 地貌过程; 水文模型; 数据产品; 跨学科综述,weathering; erosion; deposition; critical zone; source; sink; residence time,过程尺度; 物质来源; 地层或年代; 空间支持; 模型; 不确定性,关键带地貌地球化学专家第一作者框架或数据综合
D11,农学耕作农业生态林草灌排资源循环与生命周期,Agricultural Systems; Agriculture Ecosystems and Environment; Field Crops Research; Resources Conservation and Recycling; Journal of Cleaner Production,中国农业科学; 农业工程学报; 生态学报; 土壤学报,农艺试验; 系统评价; 生命周期; 技术报告; 推广材料; 基金,conservation agriculture; efficiency; productivity; sustainability; trade-off; system boundary,作物制度; 系统边界; 功能单位; 产量; 环境代价; 区域; 试验期限,农业绿色发展与养分管理专家第一作者系统论文
D12,采样设计分析仪器统计空间分析模型遥感机器学习与复现,Methods in Ecology and Evolution; Remote Sensing of Environment; Environmental Modelling and Software; Geoscientific Model Development; Earth System Science Data,土壤学报; 农业工程学报; 中国科学：地球科学; 中国农业科学,方法论文; 协议; 数据代码说明; 模型论文; 评测报告; 图表,validation; calibration; prediction; classification; uncertainty; accuracy; precision; detection limit,训练验证划分; 实验单位; 参照方法; 指标; 空间泄漏; 版本; 可复现性,方法或数字土壤制图专家第一作者基准与指南
D13,岩土环境工程公共卫生食品安全毒理政策经济与合格评定,Engineering Geology; Environmental Science and Technology; Environment International; Food Chemistry; Risk Analysis,环境科学; 中国环境科学; 环境科学研究; 相关国家标准主管期刊,工程规范; 健康风险; 食品安全; 标准; 政策; 成本效益; 专利,safety; compliance; exposure; limit; uncertainty; cost; benefit; conformity,法域; 人群; 工程条件; 标准版本; 经济假设; 责任边界,相邻领域权威专家第一作者共识或指南且须由该领域规则复核
