module_id,work_id,title,source_name,first_author,matched_queries,metadata_status,relevance_review,source_review,author_position_review,work_type_review,reviewer_1,reviewer_2,adjudicator,reviewed_at,notes
D1,10.1016/j.geoderma.2016.05.014,Legacy soil maps as a covariate in digital soil mapping: A case study from Northern Iran,Geoderma,Mohammad Reza Pahlavan-Rad,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-4-23-2018,Bone char effects on soil: sequential fractionations and XANES spectroscopy,SOIL,Mohsen Morshedizad,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/j.geoderma.2015.05.006,Can citizen science assist digital soil mapping?,Geoderma,David G. Rossiter,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.2136/sssaj2013.04.0129,Effect of Alternative Soil Acidity Amelioration Strategies on Soil pH Distribution and Wheat Agronomic Response,Soil Science Society of America Journal,Romulo Pisa Lollato,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-8-687-2022,Biotic factors dominantly determine soil inorganic carbon stock across Tibetan alpine grasslands,SOIL,Junxiao Pan,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/j.geoderma.2024.116853,High-resolution digital mapping of soil erodibility in China,Geoderma,Longhui Sun,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/s1002-0160(18)60040-2,Soil Bacterial Communities Under Different Long-Term Fertilization Regimes in Three Locations Across the Black Soil Region of Northeast China,Pedosphere,Xiaojing HU,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/s1002-0160(14)60042-4,Soil Organic Matter Characterization Using S3 and S4 Signals from Rock-Eval Pyrolysis,Pedosphere,M. HETÉNYI,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/j.geoderma.2017.10.048,Digital soil mapping of deltaic soils: A case of study from Hirmand (Helmand) river delta,Geoderma,Khalilollah Mirakzehi,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-7-767-2021,Assessing soil and land health across two landscapes in eastern Rwanda to inform restoration activities,SOIL,Leigh Ann Winowiecki,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.1016/j.geoderma.2003.07.006,Soil survey as a knowledge system,Geoderma,Elisabeth N Bui,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-8-541-2022,On the benefits of clustering approaches in digital soil mapping: an application example concerning soil texture regionalization,SOIL,István Dunkl,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-5-275-2019,Error propagation in spectrometric functions of soil organic carbon,SOIL,Monja Ellinger,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
D1,10.5194/soil-5-107-2019,Multi-source data integration for soil mapping using deep learning,SOIL,Alexandre M. J.-C. Wadoux,soil taxonomy classification pedology digital soil mapping soil survey,metadata_screened,pending,pending,pending,pending,,,,,
