source_id,journal,discipline_scope,language,quality_basis,official_evidence_url,status,access_date,recommended_use,notes
CNJ-APS,土壤学报,土壤学及植物营养环境国土等相关领域,zh-CN,中国土壤学会2024年土壤学领域高质量科技期刊分级目录列为T1,https://www.csss.org.cn/info24/1093.html,verified-directory-2024,2026-08-16,土壤学论文各章节与术语,逐篇核验全文和文章类型；期刊学科范围另见南京土壤所官方介绍
CNJ-CAS,中国农业科学,农业综合及土壤肥料农业生态环境,zh-CN,中国农科院页面列示CSCD Q1中文核心及中文领军期刊项目,https://aii.caas.cn/kjqk/zgnykx/index.htm,verified-current,2026-08-16,农业土壤摘要方法结果结论,结构式摘要不能机械移植到非结构式目标刊
CNJ-SST,中国科学：地球科学,地球系统地球化学地貌与土壤碳循环,zh-CN,中国科学系列正式期刊及可核验文章页面,https://www.sciengine.com/journal/SSTe,verified-scope,2026-08-16,跨尺度机制综述与地球系统论文,任务时补充当前质量目录依据
CNJ-ACTA-ECO,生态学报,生态学与全球变化,zh-CN,环境科学领域高质量科技期刊目录T1官方转述,https://www.whlib.cas.cn/ver/nc/institution/xinwzx/gzdt/202204/t20220418_6428666.html,verified-directory-2022,2026-08-16,土壤生态微生物生态与生态系统服务,重查最新版目录
CNJ-ES,环境科学,环境过程污染与修复,zh-CN,环境科学领域高质量科技期刊目录T1官方转述,https://www.whlib.cas.cn/ver/nc/institution/xinwzx/gzdt/202204/t20220418_6428666.html,verified-directory-2022,2026-08-16,土壤污染风险与修复,重查最新版目录
CNJ-CJES,中国环境科学,环境科学与管理,zh-CN,环境科学领域高质量科技期刊目录T1官方转述,https://www.whlib.cas.cn/ver/nc/institution/xinwzx/gzdt/202204/t20220418_6428666.html,verified-directory-2022,2026-08-16,污染监测评价与环境过程,重查最新版目录
CNJ-AES,环境科学学报,环境化学过程与污染控制,zh-CN,环境科学领域高质量科技期刊目录T1官方转述,https://www.whlib.cas.cn/ver/nc/institution/xinwzx/gzdt/202204/t20220418_6428666.html,verified-directory-2022,2026-08-16,土壤环境过程与污染控制,重查最新版目录
CNJ-RES,环境科学研究,环境科学与政策评价,zh-CN,环境科学领域高质量科技期刊目录T1官方转述,https://www.whlib.cas.cn/ver/nc/institution/xinwzx/gzdt/202204/t20220418_6428666.html,verified-directory-2022,2026-08-16,评价报告型论文与环境管理含义,重查最新版目录
CNJ-PNF,植物营养与肥料学报,植物营养肥料土壤肥力,zh-CN,待按当前农林高质量期刊目录和主办机构页面核验,,candidate,2026-08-16,养分循环肥效与田间试验,未核验前只作发现源
CNJ-JAE,农业环境科学学报,农业环境土壤污染与修复,zh-CN,待按当前农林或环境高质量期刊目录核验,,candidate,2026-08-16,农田污染生态风险与修复,未核验前只作发现源
CNJ-JSWC,水土保持学报,侵蚀水土保持与土壤水文,zh-CN,待按当前学科高质量期刊目录核验,,candidate,2026-08-16,侵蚀产流产沙与坡面过程,未核验前只作发现源
CNJ-ACTA-GEO,地理学报,地理资源与空间过程,zh-CN,待按当前地理资源领域高质量期刊目录核验,,candidate,2026-08-16,土壤空间格局土地利用和尺度表达,未核验前只作发现源
