term_id,concept_id,source_language,source_term,target_language,preferred_term,status,domain,definition,context,classification_system,authority_source_id,source_url,version,decision_note,approved_by,approved_date
TERM-SOC,C-SOC,en,soil organic carbon,zh-CN,土壤有机碳,proposed,D6-biogeochemistry,土壤中以有机形态存在并按研究所述方法测得的碳,使用时必须说明测定基准且不可与土壤有机质互换,,CNJ-APS,https://pedologica.issas.ac.cn/,task-current,常用缩写SOC；定量定义由具体方法决定,,
TERM-SOM,C-SOM,en,soil organic matter,zh-CN,土壤有机质,proposed,D3-soil-chemistry,土壤中有机来源物质的操作性或概念性总称,不得用固定换算系数无条件等同SOC,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,1999-second-defined-edition,新研究中的组分定义需另查当前文献,,
TERM-MAOC,C-MAOC,en,mineral-associated organic carbon,zh-CN,矿物结合态有机碳,proposed,D6-biogeochemistry,按研究分级方法划入矿物相关组分的有机碳,中文也见矿物关联有机碳；必须记录粒径或密度分级方法,,CNJ-APS,https://pedologica.issas.ac.cn/,task-current,不是单一化学实体且不同方法不可直接等同,,
TERM-POM,C-POM,en,particulate organic matter,zh-CN,颗粒态有机质,proposed,D6-biogeochemistry,按粒径或密度操作定义得到的颗粒有机物组分,与particulate organic carbon区分并记录分级阈值,,SRC-SOIL-2024,https://soil.copernicus.org/articles/10/533/2024/soil-10-533-2024.html,2024,项目可根据目标刊选择颗粒有机质或颗粒态有机质但须统一,,
TERM-POC,C-POC,en,particulate organic carbon,zh-CN,颗粒态有机碳,proposed,D6-biogeochemistry,颗粒有机质组分中测得的有机碳,不可与POM在量纲和含义上互换,,SRC-SOIL-2024,https://soil.copernicus.org/articles/10/451/2024/index.html,2024,缩写POC还可能指其他概念须看上下文,,
TERM-DOC,C-DOC,en,dissolved organic carbon,zh-CN,溶解性有机碳,proposed,D6-biogeochemistry,在所述提取过滤和测定条件下进入溶液相的有机碳,中文也见可溶性有机碳；两者是否可替换取决于方法与目标刊,,CNJ-CAS,https://www.chinaagrisci.com/,task-current,必须记录提取液过滤阈值土液比和测定方法,,
TERM-MBC,C-MBC,en,microbial biomass carbon,zh-CN,微生物生物量碳,proposed,D5-soil-biology,由规定方法估计的土壤微生物生物量中的碳,氯仿熏蒸提取等方法需记录转换系数,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,task-current,不要缩写成微生物碳而丢失概念边界,,
TERM-CEC,C-CEC,en,cation exchange capacity,zh-CN,阳离子交换量,proposed,D3-soil-chemistry,规定条件下土壤可交换阳离子容量的操作性测量,测定pH和方法会影响结果,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,1999-second-defined-edition,与有效阳离子交换量ECEC区分,,
TERM-ECEC,C-ECEC,en,effective cation exchange capacity,zh-CN,有效阳离子交换量,proposed,D3-soil-chemistry,在土壤实际或规定条件下估计的有效交换容量,不得省略effective造成与CEC混淆,,SRC-SOIL-2024,https://soil.copernicus.org/articles/10/451/2024/index.html,2024,核对目标方法标准的计算定义,,
TERM-BD,C-BULK-DENSITY,en,soil bulk density,zh-CN,土壤容重,proposed,D2-soil-physics,一定体积原状土的干质量与总体积之比,须说明干燥基准砾石校正和采样体积,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,1999-second-defined-edition,与particle density颗粒密度区分,,
TERM-STOCK,C-CARBON-STOCK,en,soil carbon stock,zh-CN,土壤碳储量,proposed,D6-biogeochemistry,给定面积和深度范围内土壤碳的总量,必须报告面积深度容重砾石校正和碳基准,,CNJ-SST,https://www.sciengine.com/journal/SSTe,task-current,不可与浓度含量或固碳速率互换,,
TERM-SEQUEST,C-SEQUESTRATION,en,soil carbon sequestration,zh-CN,土壤固碳,proposed,D6-biogeochemistry,相对于明确基线和时间段的土壤碳净增加过程,只测单次储量不能自动证明固碳,,SRC-NATGEO-2020,https://www.nature.com/articles/s41561-020-0612-3,2020,区分storage储存和sequestration净固存过程,,
TERM-AVAIL-P,C-AVAILABLE-P,en,available phosphorus,zh-CN,有效磷,proposed,D4-fertility,由指定提取方法表征的操作性磷指标,不得写成对所有植物和土壤均普遍可利用的磷库,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,task-current,优先写明Olsen-P Bray-P或其他方法,,
TERM-SALINE,C-SALINE,en,saline soil,zh-CN,盐土,proposed,D8-degradation,按指定分类或评价体系达到盐分判据的土壤,与盐渍土盐碱土和sodic soil的映射需给出体系,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,task-current,不得脱离电导率盐分组成和分类体系使用,,
TERM-SODIC,C-SODIC,en,sodic soil,zh-CN,碱土,proposed,D8-degradation,按指定体系达到交换性钠或相关判据的土壤,与alkaline soil及中文盐碱土的对应关系需逐项核验,,TERM-CN-SOIL,https://www.cnterm.cn/sd/dqkx/zwh/trx/,task-current,记录ESP SAR pH等判据和版本,,
TERM-SOIL-HEALTH,C-SOIL-HEALTH,en,soil health,zh-CN,土壤健康,proposed,D8-conservation,土壤持续发挥与目标系统相关功能的综合概念,指标体系和价值判断依评价框架而异,,EXP-ZYG,https://www.geog.com.cn/article/2015/0375-5444/0375-5444-70-12-1859.shtml,task-current,不要把单一指标改善写成整体健康提升,,
